epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.475,1.62472,3.01575,1.44828,0.74816,0.02869,0.10698,0.04923,1.6345,3.65707,1.3194,0.000545744,0.000545744,0.000545744
2,650.109,1.66444,2.40857,1.48011,0.10517,0.3176,0.08696,0.04251,1.7314,3.64316,1.72873,0.000992371,0.000992371,0.000992371
3,975.366,1.66987,2.16559,1.47482,0.60718,0.42746,0.44011,0.22651,1.69652,2.28427,1.42662,0.00132898,0.00132898,0.00132898
4,1294.83,1.66583,1.96655,1.48673,0.56694,0.511,0.47985,0.23844,1.71545,2.12221,1.45578,0.0011719,0.0011719,0.0011719
5,1614.39,1.66219,1.83294,1.48285,0.6778,0.53246,0.53893,0.28302,1.58495,1.82892,1.35233,0.00100687,0.00100687,0.00100687
6,1936.31,1.5505,1.66575,1.40755,0.69324,0.56706,0.59705,0.31639,1.54831,1.62244,1.32667,0.000841835,0.000841835,0.000841835
7,2257.34,1.49787,1.53953,1.36869,0.75828,0.59469,0.64757,0.35501,1.49205,1.43162,1.25752,0.000676802,0.000676802,0.000676802
8,2581.68,1.43254,1.41881,1.30915,0.75713,0.62715,0.67179,0.38607,1.40502,1.31783,1.21348,0.000511769,0.000511769,0.000511769
9,2904.91,1.40253,1.32229,1.27449,0.75483,0.63412,0.67942,0.39053,1.39755,1.27332,1.21448,0.000346736,0.000346736,0.000346736
10,3227.44,1.33966,1.25218,1.23116,0.76802,0.65452,0.70084,0.41002,1.35789,1.23263,1.19071,0.000181703,0.000181703,0.000181703
